Name,Password
51143723,Gateway1236$
51766515,Gateway1236$
51416673,Gateway1236$
51870355,Gateway1236$
51141375,Gateway1236$
51665416,Gateway1236$
51441130,Gateway1236$
51851630,Gateway1236$
51790253,Gateway1236$
51924809,Gateway1236$
51999681,Gateway1236$
51961979,Gateway1236$
51612405,Gateway1236$
51760428,Gateway1236$
51472256,Gateway1236$
51853611,Gateway1236$
51855910,Gateway1236$
51312269,Gateway1236$
51742020,Gateway1236$
51671612,Gateway1236$
51811087,Gateway1236$
51355634,Gateway1236$
51474447,Gateway1236$
51515790,Gateway1236$
51408650,Gateway1236$
51628400,Gateway1236$
51223320,Gateway1236$
51845980,Gateway1236$
51820400,Gateway1236$
51772738,Gateway1236$
51456533,Gateway1236$
51167026,Gateway1236$
51206375,Gateway1236$
51336331,Gateway1236$
51349302,Gateway1236$
51641411,Gateway1236$
51675122,Gateway1236$
51742526,Gateway1236$
51816059,Gateway1236$
51842935,Gateway1236$
51864178,Gateway1236$
