Name,Password
51766515,Gateway1235$
51416673,Gateway1235$
51870355,Gateway1235$
51141375,Gateway1236$
51665416,Gateway1235$
51441130,Gateway1235$
51851630,Gateway1235$
51790253,Gateway1235$
51924809,Gateway1235$
51999681,Gateway1235$
51961979,Gateway1235$
51612405,Gateway1235$
51760428,Gateway1235$
51472256,Gateway1235$
51853611,Gateway1235$
51855910,Gateway1235$
51312269,Gateway1235$
51742020,Gateway1235$
51671612,Gateway1235$
51811087,Gateway1235$
51355634,Gateway1235$
51474447,Gateway1235$
51515790,Gateway1235$
51408650,Gateway1235$
51628400,Gateway1235$
51223320,Gateway1235$
51845980,Gateway1235$
51820400,Gateway1235$
51772738,Gateway1235$
51456533,Gateway1235$
51167026,Gateway1236$
51206375,Gateway1236$
51336331,Gateway1236$
51349302,Gateway1235$
51641411,Gateway1235$
51675122,Gateway1235$
51742526,Gateway1235$
51816059,Gateway1235$
51842935,Gateway1235$
51864178,Gateway1235$
51866067,Gateway1235$
51899608,Gateway1235$
